listening_hours_per_week,songs_per_day,skip_rate,playlist_count
12.692385377350387,38,0.21,6
3.8754249415180544,12,0.43,4
3.796586775541206,7,0.41,0
34.9813340972357,95,0.02,22
14.004143406083706,50,0.39,8
17.057755336234997,61,0.24,14
3.7097604907897512,8,0.89,4
35.151417270159214,78,0.06,21
29.641993702929682,80,0.04,24
3.5603115832105825,16,0.57,2
4.855979756839332,11,0.55,1
34.581638373512405,119,0.06,18
28.253711478407855,127,0.08,24
20.804574431180168,29,0.28,8
40.44187352390364,72,0.13,22
30.259729429036497,73,0.14,22
3.3215649535547227,10,0.41,1
27.661493993440544,98,0.13,21
18.489282546882713,53,0.35,5
5.723272050095268,19,0.55,0
19.717188736255306,66,0.34,9
2.9743377593311524,19,0.69,1
28.18779529298434,132,0.05,16
22.504683356863545,39,0.3,5
7.712480057141645,22,0.41,1
4.04165152430942,7,0.54,2
23.75921173287069,44,0.31,6
7.007065795784048,13,0.55,0
15.270073925640435,58,0.26,9
11.140306157679582,39,0.1,8
6.085120087171929,5,0.53,0
3.1839518489575784,12,0.38,4
6.862560238232398,25,0.54,0
11.907960864578135,49,0.22,14
23.526592621395473,106,0.05,20
14.541840618989529,44,0.4,7
7.965042054307543,36,0.26,8
6.843071288959598,69,0.47,7
28.256739327960705,94,0.11,14
15.09804069703577,53,0.33,9
18.837083304340826,49,0.21,6
32.47840943986302,98,0.23,19
2.343627902203139,16,0.47,1
3.9112345509496347,13,0.6,3
21.204607902090093,43,0.25,8
31.087164365898616,105,0.03,17
4.416612500413446,13,0.42,2
2.175392597329417,17,0.57,1
28.14692833956947,121,0.04,17
11.641112631276895,49,0.13,7
15.481182526847595,80,0.34,10
29.01825075457511,83,0.19,18
4.531726086101639,19,0.58,0
23.24299169952795,49,0.33,5
10.501431632648522,40,0.28,11
15.05036960312718,36,0.21,10
29.872229645042772,148,0.02,19
9.71906717191743,43,0.29,9
28.704789270896484,131,0.03,14
11.406341314606568,69,0.36,9
32.15020823595535,100,0.1,19
16.967676686026024,50,0.13,7
8.704556369017876,12,0.42,1
5.483924543132068,22,0.43,1
2.5583127000579555,17,0.58,0
20.110707287594035,52,0.33,5
4.768703435223519,15,0.39,1
24.800470364372345,148,0.09,24
11.963469353785207,44,0.22,11
10.2669659493369,59,0.3,9
4.229835439167367,10,0.59,3
22.021363369772818,64,0.51,5
37.503798953171554,111,0.11,20
5.342736562379941,14,0.41,5
8.86354331705751,33,0.42,7
14.430482059914826,53,0.28,6
2.6980128451553944,16,0.58,2
17.87016902318385,55,0.28,10
19.717760482885147,48,0.23,12
17.491399729389997,47,0.22,9
6.295377076201385,14,0.34,1
16.9919931649818,49,0.29,4
4.078722458080425,14,0.55,3
29.302051859224132,67,0.12,22
24.73292218413172,111,0.09,14
11.766806858579393,39,0.38,4
27.859424195170437,75,0.13,20
5.4177271900095105,24,0.5,0
33.063869525312846,127,0.1,11
4.628682046672366,15,0.56,0
5.1350564093758475,11,0.62,0
35.86364509629682,98,0.1,14
13.12329739158118,47,0.3,11
2.8845781420881993,10,0.53,4
4.068540492859486,16,0.53,3
29.046587996183266,115,0.07,25
27.531217084193436,119,0.12,28
8.158425631014783,15,0.38,2
5.751396036691344,16,0.69,1
16.329256047918367,42,0.33,7
4.531693250553328,1,0.53,1
4.973005550524132,13,0.49,3
32.71800077297216,104,0.05,23
15.757286896849623,123,0.17,16
15.187922375058967,63,0.44,9
33.85849355324172,122,0.11,15
4.0731646143750755,13,0.53,3
2.7873300519879436,9,0.61,3
10.729518282469623,55,0.36,10
35.74382850186052,112,0.15,12
28.391824743913087,96,0.11,17
5.993428306022466,16,0.52,5
30.752094525717883,84,0.06,18
31.73251940865358,106,0.05,19
17.76057596684445,65,0.23,9
15.462698537171434,39,0.26,10
6.625051644788396,10,0.36,4
2.0429560192651453,14,0.48,4
34.251108710567465,114,0.17,13
3.79872262016239,15,0.48,2
6.476933159990821,5,0.56,2
15.020974798872732,34,0.35,11
32.385204136115604,108,0.03,16
30.384109455301278,132,0.07,13
5.2218451794197325,7,0.54,2
2.1505036275730864,13,0.42,0
34.99005054929826,50,0.04,17
21.301431106109504,77,0.02,12
11.930609748447802,56,0.38,6
5.393722471738247,14,0.77,2
31.909677261157768,96,0.1,21
7.114244452437831,9,0.49,2
18.8016953527442,44,0.33,11
29.76539710560408,106,0.11,15
4.3977926088214225,27,0.55,3
13.922372662221768,36,0.33,11
8.046059712816051,22,0.52,2
19.951265247893847,44,0.24,10
6.2233525776817356,7,0.38,1
17.744205839993757,48,0.2,9
30.393175951580453,86,0.07,15
33.6632003860779,132,0.09,28
15.518723109031553,145,0.12,19
1.473919689274532,18,0.35,4
23.612729830046227,36,0.24,7
6.645089824206378,14,0.53,3
6.534869458305818,13,0.37,2
13.199738114083026,66,0.05,9
15.60157514590483,42,0.12,8
15.733368022953407,40,0.2,9
33.6381477181849,87,0.06,15
20.00899657733946,145,0.11,19
12.896979913276956,55,0.36,10
4.061051228130096,15,0.55,1
1.1734395106844042,12,0.52,0
6.951090254244718,12,0.39,1
31.193945795132567,71,0.07,28
20.474526230129396,55,0.26,4
5.628494665190548,16,0.55,3
15.896369927241667,66,0.24,10
29.813888817450792,56,0.07,12
19.23369794739835,41,0.11,8
40.383739917804206,102,0.13,13
31.732442379489964,93,0.21,32
2.6075867518386584,17,0.61,4
7.061999044991902,17,0.52,3
12.602499908184909,26,0.19,3
5.64816793878959,18,0.46,1
34.35033865344377,102,0.1,20
5.662526862807128,15,0.51,0
5.687236579136923,20,0.42,1
6.5044171027607725,40,0.23,3
4.548447399026928,19,0.58,0
4.381575248297571,12,0.52,1
22.217090506701247,123,0.1,19
26.881155196520975,111,0.15,17
18.88628380381742,41,0.27,8
1.0806597522404489,15,0.65,0
23.58503887905715,109,0.12,24
39.570156769333934,117,0.21,23
4.72347139765763,22,0.63,1
3.6461559993880828,22,0.52,1
24.401650526869282,77,0.15,26
17.58150379834059,65,0.42,3
35.8041339368926,84,0.09,18
20.41548949666165,57,0.26,5
22.325835063417415,52,0.18,7
17.84645951235556,48,0.31,8
12.602429418223911,59,0.35,6
15.390704394195327,32,0.3,7
12.006053853773786,35,0.26,9
31.824805012331126,94,0.18,24
7.931297537843108,15,0.4,1
35.54091408368758,120,0.09,15
13.395118112456656,50,0.25,8
8.622289364822532,47,0.38,10
1.5501643349739345,10,0.53,0
16.367023903108638,48,0.14,4
29.59641709945709,120,0.16,21
8.14746188363649,56,0.21,7
